SampleID,Tissue,Antibody,Condition,Treatment,Replicate,bamReads,ControlID,bamControl,Peaks,PeakCaller
brd4_e2_rep1,MCF7 breast cancer cells,BRD4,,e2,1,results/nf-chipseq/bwa/mergedLibrary/brd4_e2_rep1.mLb.clN.sorted.bam,mcf7_input_e2,results/nf-chipseq/bwa/mergedLibrary/mcf7_input_e2.mLb.clN.sorted.bam,results/nf-chipseq/bwa/mergedLibrary/macs2/broadPeak/brd4_e2_rep1_peaks.broadPeak,bed
brd4_e2_rep2,MCF7 breast cancer cells,BRD4,,e2,2,results/nf-chipseq/bwa/mergedLibrary/brd4_e2_rep2.mLb.clN.sorted.bam,mcf7_input_e2,results/nf-chipseq/bwa/mergedLibrary/mcf7_input_e2.mLb.clN.sorted.bam,results/nf-chipseq/bwa/mergedLibrary/macs2/broadPeak/brd4_e2_rep2_peaks.broadPeak,bed
brd4_e2_rep3,MCF7 breast cancer cells,BRD4,,e2,3,results/nf-chipseq/bwa/mergedLibrary/brd4_e2_rep3.mLb.clN.sorted.bam,mcf7_input_e2,results/nf-chipseq/bwa/mergedLibrary/mcf7_input_e2.mLb.clN.sorted.bam,results/nf-chipseq/bwa/mergedLibrary/macs2/broadPeak/brd4_e2_rep3_peaks.broadPeak,bed
brd4_veh_rep1,MCF7 breast cancer cells,BRD4,,veh,1,results/nf-chipseq/bwa/mergedLibrary/brd4_veh_rep1.mLb.clN.sorted.bam,mcf7_input_veh,results/nf-chipseq/bwa/mergedLibrary/mcf7_input_veh.mLb.clN.sorted.bam,results/nf-chipseq/bwa/mergedLibrary/macs2/broadPeak/brd4_veh_rep1_peaks.broadPeak,bed
brd4_veh_rep2,MCF7 breast cancer cells,BRD4,,veh,2,results/nf-chipseq/bwa/mergedLibrary/brd4_veh_rep2.mLb.clN.sorted.bam,mcf7_input_veh,results/nf-chipseq/bwa/mergedLibrary/mcf7_input_veh.mLb.clN.sorted.bam,results/nf-chipseq/bwa/mergedLibrary/macs2/broadPeak/brd4_veh_rep2_peaks.broadPeak,bed
brd4_veh_rep3,MCF7 breast cancer cells,BRD4,,veh,3,results/nf-chipseq/bwa/mergedLibrary/brd4_veh_rep3.mLb.clN.sorted.bam,mcf7_input_veh,results/nf-chipseq/bwa/mergedLibrary/mcf7_input_veh.mLb.clN.sorted.bam,results/nf-chipseq/bwa/mergedLibrary/macs2/broadPeak/brd4_veh_rep3_peaks.broadPeak,bed
h2bub1_e2_rep1,MCF7 breast cancer cells,H2Bub1,,e2,1,results/nf-chipseq/bwa/mergedLibrary/h2bub1_e2_rep1.mLb.clN.sorted.bam,mcf7_input_e2,results/nf-chipseq/bwa/mergedLibrary/mcf7_input_e2.mLb.clN.sorted.bam,results/nf-chipseq/bwa/mergedLibrary/macs2/broadPeak/h2bub1_e2_rep1_peaks.broadPeak,bed
h2bub1_e2_rep2,MCF7 breast cancer cells,H2Bub1,,e2,2,results/nf-chipseq/bwa/mergedLibrary/h2bub1_e2_rep2.mLb.clN.sorted.bam,mcf7_input_e2,results/nf-chipseq/bwa/mergedLibrary/mcf7_input_e2.mLb.clN.sorted.bam,results/nf-chipseq/bwa/mergedLibrary/macs2/broadPeak/h2bub1_e2_rep2_peaks.broadPeak,bed
h2bub1_e2_rep3,MCF7 breast cancer cells,H2Bub1,,e2,3,results/nf-chipseq/bwa/mergedLibrary/h2bub1_e2_rep3.mLb.clN.sorted.bam,mcf7_input_e2,results/nf-chipseq/bwa/mergedLibrary/mcf7_input_e2.mLb.clN.sorted.bam,results/nf-chipseq/bwa/mergedLibrary/macs2/broadPeak/h2bub1_e2_rep3_peaks.broadPeak,bed
h2bub1_veh_rep1,MCF7 breast cancer cells,H2Bub1,,veh,1,results/nf-chipseq/bwa/mergedLibrary/h2bub1_veh_rep1.mLb.clN.sorted.bam,mcf7_input_veh,results/nf-chipseq/bwa/mergedLibrary/mcf7_input_veh.mLb.clN.sorted.bam,results/nf-chipseq/bwa/mergedLibrary/macs2/broadPeak/h2bub1_veh_rep1_peaks.broadPeak,bed
h2bub1_veh_rep2,MCF7 breast cancer cells,H2Bub1,,veh,2,results/nf-chipseq/bwa/mergedLibrary/h2bub1_veh_rep2.mLb.clN.sorted.bam,mcf7_input_veh,results/nf-chipseq/bwa/mergedLibrary/mcf7_input_veh.mLb.clN.sorted.bam,results/nf-chipseq/bwa/mergedLibrary/macs2/broadPeak/h2bub1_veh_rep2_peaks.broadPeak,bed
h2bub1_veh_rep3,MCF7 breast cancer cells,H2Bub1,,veh,3,results/nf-chipseq/bwa/mergedLibrary/h2bub1_veh_rep3.mLb.clN.sorted.bam,mcf7_input_veh,results/nf-chipseq/bwa/mergedLibrary/mcf7_input_veh.mLb.clN.sorted.bam,results/nf-chipseq/bwa/mergedLibrary/macs2/broadPeak/h2bub1_veh_rep3_peaks.broadPeak,bed